generic_name,brand_name,drug_class,primary_fda_ind,other_fda_ind,available_strengths,moa,dosing_regimen,side_effects,boxed_warnings
Paroxetine Hydrochloride,"Paxil® (XR), Pexeva®",Antidepressant,Depression,Obsessive Compulsive Disorder,"Tablets: 10 mg, 20 mg, 30 mg, 40 mg; Controlled-release (Paxil XR): 12.5 mg, 25 mg, 37.5 mg",Selective Serotonin Reuptake Inhibitor (SSRI),Controlled-release tablets: 25 mg PO QDay to 62.5 mg PO QDay,"Nausea and somnolence, headache, asthenia, sexual dysfunction, constipation, dizziness, insomnia, sweating, and diarrhea, tremor, nervousness, weight loss, flatulence, stomach pain, and vomiting","ANTIDEPRESSANTS INCREASE SUICIDAL THOUGHTS AND ACTIONS IN CHILDREN, ADOLESCENTS, AND YOUNG ADULTS."
Sucralfate,Carafate®,Antiulcer Agent,Duodenal ulcer,,1 g,Thought to be due to formation of ulcer-adherent complex that covers ulcer site,1 g PO QID on an empty stomach,Constipation,
Nitrofurantoin,Macrodantin® & Macrobid®,Antibacterial,Urinary tract infection,,"25 mg, 50 mg, 100 mg",Inhibition of acetyl-coenzyme a,100 mg cap PO Q12H for 7 days,"Nausea, headache, flatulence, vomiting, diarrhea, fever, cough, and chills",
Mupirocin (topical),Bactroban®,Antibiotic,Impetigo,MRSA prophylaxis and treatment in the nasal cavity,2.%,Naturally-occurring antibiotic produced by fermentation of organism Pseudomonas fluorescens,Cover affected area with small film of Bactroban TID topically,"Burning, stinging, pain, headache, rhinitis, nasal congestion, pharyngitis, or taste disturbances",
Atomoxetine Hydrochloride,Strattera®,CNS Agent for ADHD,ADHD,,"10 mg, 18 mg, 25 mg, 40 mg, 60 mg, 80 mg, 100 mg","Unknown, may be related to selective inhibition of presynaptic norepinephrine transporter",Target total daily dose of 80 mg given either once in morning or evenly divided between morning and late afternoon/early evening,"Dyspepsia, nausea, vomiting, fatigue, appetite suppression, dizziness, mood swings, dry mouth, constipation, impotence, urinary retention, insomnia, ejaculatory problems, decreased libido, and dysmenorrhea","ATOMOXETINE MAY INCREASE SUICIDAL THOUGHTS AND ACTIONS IN CHILDREN, ADOLESCENTS, AND YOUNG ADULTS."
Vortioxetine,Trintellix®,Antidepressant,Major Depressive Disorder,,"5 mg, 10 mg, 20 mg",Inhibition of reuptake of serotonin (5-HT); also inhibitor of 5-HT3 and agonist of 5-HT1A,10-20mg PO QDay without regard to meals,"Transient nausea, diarrhea, dry mouth, dizziness, constipation, vomiting, flatulence, pruritus, and abnormal dreams","ANTIDEPRESSANTS INCREASE SUICIDAL THOUGHTS AND ACTIONS IN CHILDREN, ADOLESCENTS, AND YOUNG ADULTS."
Ciprofloxacin Hydrochloride,Cipro® (XR),Antibiotic,Infectious diarrhea,"Urinary tract, lower respiratory tract, skin and soft tissue infections","100 mg, 250 mg, 500 mg, 750 mg; XR: 500 mg, 1000 mg",Fluoroquinolone antibiotic that prevents synthesis of bacterial DNA by interfering with enzyme DNA gyrase,"250 mg to 500 mg PO Q12H, up to 300-450mg daily","Nausea, rash, diarrhea, sun sensitivity, and dizziness","FLUOROQUINOLONES MAY CAUSE SERIOUS ADVERSE REACTIONS, INCLUDING TENDINITIS, TENDON RUPTURE, PERIPHERAL NEUROPATHY, CENTRAL NERVOUS SYSTEM EFFECTS, AND EXACERBATION OF MYASTHENIA GRAVIS."
Naproxen,Naprosyn® & EC-Naprosyn®,Nonsteroidal Anti-inflammatory,Mild to moderate pain,"Rheumatoid arthritis, osteoarthritis, gout","250 mg, 375 mg, 500 mg; EC: 375 mg, 500 mg",Reversible inhibition of cyclooxygenase-1 and -2 enzymes,250 mg to 500 mg PO BID,"Shortness of breath, indigestion, tinnitus, edema, itching, constipation, dizziness, drowsiness, headache, nausea, and vomiting","NSAIDS MAY CAUSE AN INCREASED RISK OF SERIOUS CARDIOVASCULAR THROMBOTIC EVENTS, MYOCARDIAL INFARCTION, AND STROKE. NSAIDS HAVE BEEN INVOLVED IN RARE CASES OF GI BLEEDING INCIDENTS."
Prazosin Hydrochloride,Minipress®,Antihypertensive,Hypertension,,"1 mg, 2 mg, 5 mg",Selective antagonism of postsynaptic alpha-1 adrenergic receptors,"1 mg PO BID to TID initial, 6-20mg per day maintenance","Drowsiness, dizziness, headache, nausea, palpitations, and fatigue",
Hydroxychloroquine Sulfate,Plaquenil®,Rheumatoid Arthritis Agent,Systemic lupus erythematosus,"Rheumatoid arthritis, malaria",200 mg,"Unknown, may raise pH of certain components sensitive parasites and interfere with lysosomal degradation of hemoglobin",200 mg-400 mg PO QDay,"Headache, dizziness, nausea, visual disturbances, edema, weight loss, blood dyscrasias, nervousness, anorexia, and abnormal skin pigmentation",
Chlorthalidone,Hygroton®,Diuretic,Edema associated with congestive heart failure or hepatic cirrhosis,Hypertension,"25 mg, 50 mg","Thiazide-like diuretic, inhibits sodium and chloride reabsorption at cortical diluting segment of ascending Loop of Henle",50 mg PO QDay,"Dry mouth, muscle cramps, nausea, vomiting, anemia, weakness, dizziness, orthostatic hypotension, anorexia, GI distress including diarrhea and constipation, hyperglycemia, photosensitivity, rash, and transient blurred vision",
Icosapent Ethyl,Vascepa®,Antihyperlipidemic,"Reduce risk of myocardial infarction, stroke, coronary revascularization, unstable angina in patients with elevated TG >=150 mg/dL",Adjunct to reduce triglyceride levels in adults with severe (>500mg/dL) hypertriglyceridemia,1 g,"Ethyl ester of omega-3 fatty acid eicosapentaenoic acid (EPA), inhibits hepatic very low-density lipoprotein triglyceride synthesis and/or secretion and stimulates TG clearance",2 g PO BID with food,"Diarrhea, abdominal discomfort, pain in the extremities, increased bleeding, hypersensitivity, and atrial fibrillation or atrial flutter",
Benazepril Hydrochloride,Lotensin®,Antihypertensive,Hypertension,,"5 mg, 10 mg, 20 mg, 40 mg",ACE inhibitor (angiotensin-converting enzyme inhibitor),"10 mg PO QDay initial, maintenance between 20-80mg daily","Cough, headache, dizziness, fatigue, and nausea",DO NOT USE DURING PREGNANCY.
Hydromorphone HCl,Dilaudid®,Opioid Analgesic,Pain,,"2 mg, 4 mg, 8 mg; Extended-release tablets: 8 mg, 12 mg, 16 mg, 32 mg",Pure opioid agonist,Usual starting dose of 2 to 4 mg PO Q4H to Q6H,"Constipation, nausea, dizziness, somnolence, headache, fatigue, vomiting, diarrhea, pruritus, insomnia, anorexia, edema, dry mouth, and sweating","OPIOIDS CAN BE ADDICTIVE, ABUSED, AND MISUSED, WHICH CAN LEAD TO OVERDOSE AND DEATH. SERIOUS, LIFE-THREATENING RESPIRATORY DEPRESSION MAY OCCUR. ACCIDENTAL EXPOSURE CAN BE FATAL, ESPECIALLY IN CHILDREN. USE IN PREGNANCY CAN CAUSE NEONATAL WITHDRAWAL SYNDROME. CONCOMITANT USE WITH BENZODIAZEPINES, ALCOHOL, OR OTHER CNS DEPRESSANTS CAN RESULT IN RESPIRATORY DEPRESSION, COMA, AND DEATH."
Amiodarone,"Pacerone®, Cordarone®",Antiarrhythmic,Recurrent ventricular fibrillation,Recurrent hemodynamically unstable ventricular tachycardia,"100mg, 200 mg, 400mg","Class III antiarrhythmic, lengthening cardiac action potential",Usual maintenance dose of 400 mg per day,"Hypotension, cardiogenic shock, cardiac arrest, congestive heart failure, bradycardia, liver function test abnormalities, pulmonary fibrosis, ventricular tachycardia, AV block, nausea and vomiting, photosensitivity, fatigue, ataxia, dizziness, anorexia, constipation, and visual disturbances","AMIODARONE SHOULD ONLY BE PRESCRIBED AND ADMINISTERED BY PHYSICIANS WHO ARE FAMILIAR WITH ITS DOSING, ITS RISKS AND BENEFITS, AND WHO HAVE ADEQUATE MONITORING EQUIPMENT AVAILABLE. PULMONARY AND HEPATIC TOXICITY MAY OCCUR DURING THERAPY."
Anastrozole,Arimidex®,Antineoplastic,Adjuvant treatment of postmenopausal women with hormone receptor-positive early breast cancer,,1 mg,Selective non-steroidal aromatase inhibitor,1 mg PO QDay,"Vasodilation, nausea, vomiting, asthenia, localized pain, constipation, diarrhea, headache, and flu syndrome",
Sodium Fluoride Paste,SF 5000 Plus,Dentifrice,Preventative for dental caries,,1.1% sodium fluoride,Prevent tooth decay by slowing demineralization of tooth enamel,Use once per day or as directed,Rare allergic reactions,
Fluticasone furoate and vilanterol (Inhalation),Breo Ellipta®,Antiasthmatic / COPD Agent,COPD,Asthma,"100 mcg/25 mcg, 200mcg/25mcg","Fluticasone proprionate: synthetic, trifluorinated corticosteroid; Vilanterol: long-acting beta2-agonist, stimulates adenyl cyclase, relaxing bronchial, uterine, vascular smooth muscle",One inhalation daily,"Upper respiratory tract infection, nasopharyngitis, and headache",
Methenamine Hippurate,Hiprex®,Urinary Tract Antiseptic,Prophylactic or suppressive treatment of frequently recurring urinary tract infections,,1 g,Hydrolyzed to formaldehyde and hippuric acid in acidic environment,1 g PO BID,"Nausea, upset stomach, dysuria, and rash",
Lurasidone Hydrochloride,Latuda®,Antipsychotic,Schizophrenia,Bipolar depression,"20 mg, 40 mg, 80 mg, 120 mg","Atypical antipsychotic; unknown, but may be due to D2 inhibition and serotonin type 2 (5HT2a) receptors","40 mg PO QDay with food, up to 160mg","Somnolence, akathisia, nausea, parkinsonism, dizziness, insomnia, anxiety, and agitation",
Dulaglutide,Trulicity®,Antidiabetic,Type 2 diabetes mellitus,,"0.75mg/0.5mL, 1.5 mg/0.5 mL",GLP-1 receptor agonist,0.75 mg to 1.5 mg SQ QWeekly,"Common GI side effect: Nausea, diarrhea, vomiting, abdominal pain, dyspepsia. Rare but serious: medullary thyroid carcinoma, pancreatitis, and renal impairment",
Progesterone (oral),Prometrium®,Hormone Replacement,Prevention of endometrial hyperplasia in nonhysterectomized post menopausal women receiving conjugated estrogen tablets,Secondary amenorrhea,"100 mg, 200 mg",Increase synthesis of RNA by interacting with chromatin,Give 200 mg QDay in evening for 12 days sequentially per 28-day cycle,"Common: Dizziness, headache, abdominal pain, musculoskeletal pain, viral infection, breast pain, nausea, diarrhea, fatigue, cough and irritability. Less common but severe: thromboembolic disorder, blurred or loss of vision","Estrogens plus progestin therapy increases the risk of cardiovascular disorders, breast cancer, endometrial cancer and in women over 65 years of age, probable dementia"
Ramipril,Altace®,Antihypertensive,Hypertension,"Heart failure, reduction in the risk of myocardial infarction, stroke and death from cardiovascular causes","1.25 mg, 2.5 mg, 5 mg, 10 mg",ACE inhibitor (angiotensin-converting enzyme inhibitor),Maintenance dose is between 2.5 mg and 20 mg/day in one or two doses,"Cough, headache, dizziness, fatigue and angioedema","Fetal toxicity, Do not use during pregnancy"
Nortriptyline Hydrochloride,Pamelor®,Antidepressant,Relief of symptoms of depression,,"10 mg, 25 mg, 50 mg",Inhibits membrane pump mechanism responsible for reuptake of norepinephrine and serotonin at presynaptic nerve terminals,75 to 150 mg daily given in single or multiple doses,"Drowsiness, dry mouth, blurred vision, tachycardia, nausea, vomiting, dizziness, weakness, headache, constipation, urinary retention, and weight gain","ANTIDEPRESSANTS INCREASE SUICIDAL THOUGHTS AND ACTIONS IN CHILDREN, ADOLESCENTS, AND YOUNG ADULTS."
Clozapine,Clozaril®,Antipsychotic,Schizophrenia,,"25 mg, 50 mg, 100 mg, 200 mg",Antagonism of dopamine D2 and serotonin 5-HT2A receptors,"Begin with 12.5 mg once or twice daily, up to 450mg daily","Drowsiness, salivation, tachycardia, dizziness, constipation, orthostatic hypotension, headache, tremor, syncope, sweating, or dry mouth, nausea, fever or visual disturbances, heartburn, nightmares, restlessness, hypertension, hypokinesia/akinesia or weight gain, seizures, rigidity, confusion or leukopenia/neutropenia",
Hydralazine Hydrochloride,Apresoline®,Antihypertensive,Essential Hypertension,,"10 mg, 25 mg, 50 mg, 100 mg","Direct vasodilation of arterioles with decreased systemic resistance, may occur due to targeting intracellular calcium","25 mg PO QID, max dose of 200mg per day","Nausea, vomiting, angina pectoris, diarrhea, tachycardia, palpitation, headache, and anorexia",
Labetalol Hydrochloride,"Normodyne®, Trandate®",Antihypertensive,Hypertension,,"100 mg, 200 mg, 300 mg","Mixed alpha-1, beta-1 and beta-2 antagonist",Usual maintenance dose: 200 mg or 400 mg PO BID,"Dizziness, fatigue, nausea, and nasal stuffiness",
Glipizide,Glucotrol® (XL),Antidiabetic,Diabetes mellitus,,"5 mg, 10 mg; XL: 2.5 mg, 5 mg, 10 mg","Sulfonylurea, stimulates insulin synthesis and release from beta cells in pancreatic islets",5-20 mg PO per day,"Nausea, diarrhea, heartburn, pruritus, urticaria and mild hypoglycemic reaction",
Ketoconazole,Nizoral®,Antifungal,Systemic fungal infections,"Seborrheic dermatitis, tinea corporis and tinea cruris",Tablet: 200 mg; Cream and shampoo: 2%,Impairs synthesis of ergosterol (main sterol of fungal membranes),Tablet: 200 to 400 mg PO QDay; Cream: Apply BID for 4 weeks or until clinical clearing,Oral doses: nausea and vomiting. Topical preparation: severe irritation,
"Insulin Aspart, (rDNA origin)",Novolog®,Antidiabetic,Type 1 or Type 2 diabetes mellitus,,100 units/mL,Insulin promotes transport of glucose across cell membranes and facilitates transformation of intracellular amino acids into proteins,Dosage must be individualized; given close to meal (within 5-10 minutes),"Hypoglycemia, localized allergy at injection site",
Lansoprazole,Prevacid®,Gastric Antisecretory,Active duodenal ulcer,"GERD, gastric ulcers","15 mg, 30 mg",Proton-pump inhibitor; inhibits H+/K+ ATPase enzyme,30 mg PO QDay,"Diarrhea, abdominal pain, nausea, and headache",
Phenobarbital,Phenobarbital,Anticonvulsant,Sedation,Convulsive disorders,"15, 30, 60 and 100mg","May be due to binding to GABA-A receptor to prolong time of channel opening, producing sensory cortex depression",30-120 mg PO daily in two to three divided doses,"Somnolence, drowsiness, dizziness, light-headedness, and residual sedation",* BEERS LIST
Irbesartan,Avapro®,Antihypertensive,Hypertension,,"75 mg, 150 mg, 300 mg",ARB (angiotensin receptor blocker),150 mg PO QDay,"Upper respiratory tract infection, fatigue",DO NOT USE DURING PREGNANCY.
Fluticasone Propionate (inhalation),Flovent®,Antiasthmatic,Asthma,,"MDI: 44mcg, 110mcg, 220 mcg; Diskus: 50mcg, 100mcg or 250mcg","Adrenocorticoid that binds to receptor proteins to form steroid-receptor complex which stimulates mRNA transcription, causing anti-inflammatory activity",Two puffs of 110 or 220 MDI BID or one inhalation of 100 or 250 mcg Diskus BID,"Pharyngitis, nasal congestion, and upper respiratory infection",
"Fluticasone furoate, umeclidinium bromide, and vilanterol",Trelegy Ellipta®,Antiasthmatic / COPD Agent,Asthma,,100mcg/62.5mcg/25mcg and 200 mcg/62.5 mcg/25 mcg,Fluticasone: corticosteroid with anti-inflammatory activity; Umeclidinium: reversible competitive inhibitor of Ach at M3 receptors; Vilanterol: long-acting beta-2 agonist,One inhalation once daily,"Upper respiratory tract infection, nasopharyngitis, and headache",
Benztropine Mesylate,Cogentin®,Antiparkinson Agent,Control of extrapyramidal disorders due to neuroleptic drugs,,"0.5 mg, 1 mg, 2 mg",Active inhibitor of cholinergic and histaminic receptors,1 mg to 4 mg PO or parenterally daily or BID,"Dry mouth, blurry vision, constipation, nausea, numbness of the fingers, depression, and nervousness. * Side effects may decrease with prolonged use",
Chlorhexidine Gluconate,"Peridex®, Periogard®",Antiplaque Rinse,Gingivitis,,0.12%,Anti-microbial against gram-(+) and gram-(-) bacteria,"Twice daily oral rinsing for 30 seconds, morning and evening after brushing","May cause staining of oral surfaces, alteration of taste perception, and increase in calculus formation and minor irritation of the oral mucosa",
Ibuprofen,Motrin®,Nonsteroidal Anti-inflammatory,Mild to moderate pain,"Primary dysmenorrhea, rheumatoid arthritis, osteoarthritis","400 mg, 600 mg, 800 mg",Reversible inhibition of cyclooxygenase-1 and -2 enzymes,1200 mg to 3200 mg daily PO in three to four divided doses,"Indigestion, constipation, abdominal cramps, flatulence, dizziness, Rash, pruritus, heartburn, nausea, diarrhea, tinnitus, and anorexia","May cause an increased risk of serious cardiovascular thrombotic events, myocardial infarction, and stroke. NSAIDs have been involved in rare cases of GI bleeding incidents"
"Vitamin D, Ergocalciferol",Drisdol®,Vitamin,NON-FDA: Vitamin D deficiency,"Refractory rickets, hypoparathyroidism","50,000 international units (IU)","Involved in absorption of calcium and phosphorus from small intestine, promotes secretion of calcium from bone to blood, promotes renal tubule phosphate resorption","50,000 IU weekly for eight weeks","Impairment of renal function, mental retardation, bone demineralization, calcification of the soft tissues, nausea, anorexia, constipation, anemia, and weight loss",
Methotrexate Sodium,Trexall®,Antineoplastic,Severe active rheumatoid arthritis or psoriasis,Advance stage non-Hodgkin's lymphomas; breast cancer,2.5 mg,"Inhibits dihydrofolic acid reductase, interfering with DNA synthesis, repair, and cellular replication","Starting dose of 7.5mg weekly, up to 25mg weekly","Ulcerative stomatitis, leukopenia, nausea, abdominal distress, malaise, fatigue, chills and fever, dizziness, sun sensitivity, and decreased resistance to infection","Because of the possibility of serious toxicity reactions (which can be fatal), Methotrexate should only be used in life-threatening neoplastic diseases, or in patients with psoriasis or rheumatoid arthritis with severe, recalcitrant, disabling disease which is not adequately responsive to other forms of therapy."
Lidocaine (Transdermal),Lidoderm®,Topical Analgesic,Relief of pain associated with post-herpetic neuralgia,,5% patch,Exhibits neuronal membrane-stabilizing properties by combining with fast sodium channels during inactive state to inhibit repolarization,Apply up to 3 patches to intact skin to cover most painful area. Patches should be left on for 12 hours within a 24 hour period,"Erythema, edema, bruising, papules, vesicles, discoloration, burning, pruritus, dermatitis, petechia, blisters and exfoliation",
Fenofibrate,Tricor®,Antihyperlipidemic,"Adjunctive therapy to diet to reduce elevated LDL-C, total-C, TG, and Apo B, and to increase HDL-C in adults with primary hypercholesterolemia or mixed dyslipidemia",,"48 mg, 145 mg",Activates peroxisome proliferator activated receptor-a (PPARa),145 mg PO QDay with meals,"Rash, muscle pain, tenderness or weakness, respiratory disorders, abdominal pain, back pain and headache",
Raloxifene Hydrochloride,Evista®,Osteoporosis Agent,Prevention and treatment of osteoporosis in postmenopausal women,,60 mg,Selective estrogen receptor modulator,One 60 mg tablet PO QDay without regards to meals or time of day,"Hot flashes, leg cramps, weight gain, peripheral edema, sinusitis, rash, and sweating",
Budesonide (inhalation),Pulmicort®,Antiasthmatic,Asthma,,90 or 180 mcg/actuation,"Adrenocorticoid that binds to receptor proteins to form steroid-receptor complex which stimulates mRNA transcription, causing anti-inflammatory activity",180 mcg (children) or 360 mcg (adults) BID as directed,"Turbohaler: Headache, asthenia, pain, dyspepsia, nausea, oral candidiasis, arthralgia, cough, respiratory infection, rhinitis and sinusitis. Respules: respiratory infection, rhinitis, cough, otitis media, vomiting, diarrhea, abdominal pain and rash",Long-acting beta-2-adrenergic agonists increase the risk of asthma-related death
Ziprasidone Hydrochloride,Geodon®,Antipsychotic,Schizophrenia,Acute and maintenance treatment of mania or mixed episodes with bipolar disorder,"20 mg, 40 mg, 60 mg, 80 mg","Unknown, thought to act by antagonism of dopamine D2 receptors and serotonin 5HT2 receptors",40 mg to 80 mg PO BID with food,"Drowsiness, nausea, constipation, dyspepsia, dizziness, akathisia, cold symptoms, extrapyramidal syndrome, diarrhea, rhinitis, asthenia, dry mouth, dystonia, and non-allergic rash",Contraindicated in patients with dementia-related psychosis
Dexmethylphenidate Hydrochloride,Focalin® (XR),CNS Agent for ADHD,ADHD,,"Tablets: 2.5 mg, 5 mg, 10 mg; Capsules extended-release (XR): 5 mg, 10 mg, 15 mg, 20 mg, 25mg, 30 mg, 35mg, 40 mg","Unknown, thought to block norepinephrine and dopamine reuptake into presynaptic neuron and increase release of these monoamines into extraneuronal space",Starting adult dose: 10 mg PO given early in the morning,"Common: dry mouth, dyspepsia, headache, anxiety, dizziness, decreased appetite, insomnia, and throat pain. Rare but serious: Seizures, chest pain, and blurred vision",CNS stimulants have a high potential for abuse and dependence
Ursodiol,Actigall®,Gallstone Agent,"Radiolucent, noncalcified gallbladder stones <20 mm",Prevention of gallstone formation in obese patients experiencing rapid weight loss,"Tablet: 250 mg, 500 mg; Capsules: 300 mg",Bile acid that dissolves cholesterol-formed gallstones in gallbladder or bile ducts,300 mg PO BID,"Diarrhea, vomiting, and back pain",
Insulin Detemir,Levemir®,Antidiabetic,Type 1 or Type 2 diabetes mellitus,,100 units/mL,Insulin promotes transport of glucose across cell membranes and facilitates transformation of intracellular amino acids into proteins,Starting dose: 0.1-0.2 U/kg SQ once daily in the evening or 10 units SQ once-or-twice daily,Pain at the injection site and hypoglycemic reaction,
Hydroxyzine Pamoate,Vistaril®,Antiallergy/Antianxiety Agent,Symptomatic relief of anxiety,Pruritus due to allergic conditions,"25, 50, 100mg",H1 (histamine) receptor antagonist in subcortical region of CNS,50 mg-100 mg PO up to QID,Dry mouth and drowsiness. * BEERS List,
Norgestimate and Ethinyl Estradiol,"Ortho-Cyclen®, Sprintec®","Oral Contraceptive",Prevention of pregnancy,,"Each tablet: norgestimate 0.25 mg and ethinyl estradiol 35 mcg. White tablet: norgestimate 0.18 mg, ethinyl estradiol 35 mcg; Light blue tablet: 0.215 mg norgestimate, ethinyl estradiol 35 mcg; Blue tablet: norgestimate 0.25 mg, ethinyl estradiol 35 mcg",Luteinizing hormone (LH) and follicle stimulation hormone (FSH) suppression inhibits ovulation,One tablet PO QDay for 28 days beginning on 5th day of cycle,"Abdominal cramping, acne, anorexia, nausea, vomiting, edema, unusual tiredness or weakness and cardiovascular or thromboembolic disorders",
"Norethindrone, Ethinyl Estradiol, Ferrous Fumarate","Loestrin FE®, Loestrin FE 24, Microgestin® FE, Junel® FE, Minastrin 24","Oral Contraceptive",Prevention of pregnancy,,"FE 1/20: 21 active tables of 1mg norethidrone, 20mcg ethinyl estradiol and 7 inactive tablets 75mg ferrous fumarate. FE 1.5/30: 21 active tablets of 1mg norethidrone, 20mcg ethinyl estradiol and 7 inactive tablets 75mg ferrous fumarate. FE 24: 24 active tablets of 1mg norethidrone and 20mcg ethinyl estradiol with 4 inactive tablets of 75mg ferrous fumarate",Luteinizing hormone (LH) and follicle stimulation hormone (FSH) suppression inhibits ovulation,Take one tablet PO QDay for 28 days beginning on fifth day of cycle,"Abdominal cramping, acne, anorexia, nausea, vomiting, edema, unusual tiredness or weakness and cardiovascular or thromboembolic disorders",
Bumetanide,Bumex®,Diuretic,Edema associated with congestive heart failure,Edema associated with cirrhosis of liver and renal disease,"0.5 mg, 1 mg, 2 mg",Inhibits reabsorption of sodium and chloride in ascending limb of loop of Henle,0.5 mg to 2 mg PO daily given in one or two doses,"Dizziness, hypotension, muscle cramps, weakness, impaired hearing, hyperuricemia, hypochloremia, hypochloremia, hyponatremia, hypokalemia, azotemia, and hyperglycemia",
Terazosin Hydrochloride,Hytrin®,Antihypertensive,Hypertension,Benign prostatic hyperplasia,"1 mg, 2 mg, 5 mg, 10 mg",Competitive alpha-1-adrenoreceptor blocker,Recommended dose range: 1 mg to 5 mg PO QDay,"Asthenia, palpitations, nausea, headache, nasal congestion, peripheral edema, and dizziness",
Promethazine HCl,Phenergan®,Antiemetic,Control of nausea/vomiting seasonal allergic rhinitis or motion sickness,,"12.5 mg, 25 mg, 50 mg",Competitive inhibitor of histamine at H1 receptor site,12.5 mg to 25 mg PO Q4H to Q6H PRN for N/V,"Drowsiness, rash, nausea, vomiting, blurred vision, dry mouth, and dizziness",
Clindamycin Hydrochloride (oral),Cleocin®,Antibiotic,Serious respiratory tract and skin and soft tissue infections,Intra-abdominal infections,"75 mg, 150 mg, 300 mg",Binds to 50 S subunit of susceptible bacterial ribosomes and suppresses protein synthesis,150 mg to 450 mg PO Q6H,"May cause abdominal pain, nausea, vomiting, diarrhea, pruritus, and vaginitis",
Metoclopramide Hydrochloride,Reglan®,Antiemetic,Diabetic gastroparesis,Prevention of N/V associated with emetogenic cancer chemotherapy,"5 mg, 10 mg",Inhibition of dopamine receptors,5 mg-10 mg taken PO 30 minutes before each meal and at bedtime for 2-8 weeks,"Restlessness, drowsiness, tardive dyskinesia, and fatigue. * BEERS LIST",Tardive dyskinesia
Dicyclomine Hydrochloride,Bentyl®,GI Antispasmodic,Functional and irritable bowel syndromes,,"10 mg, 20 mg","Inhibits acetylcholine at parasympathetic sites in smooth muscle, secretory glands, and CNS",10 mg-20 mg PO TID to QID,"Dizziness, headache, nausea, vomiting, dry mouth, drowsiness, constipation, and difficulty in urination",
Clobetasol Propionate (topical),Temovate®,Anti-inflammatory,Short-term treatment of inflammatory and pruritic manifestations of moderate to severe corticosteroid-responsive dermatoses,Moderate-severe plaque-type psoriasis,0.05% gel/cream/ointment/emollient cream/solution,"Adrenocorticoid that binds to receptor proteins to form steroid-receptor complex which stimulates mRNA transcription, causing anti-inflammatory activity",Gently rub in affected area BID for no more than two consecutive weeks,Local burning and itching,
Dapagliflozin,Farxiga®,Antidiabetic,Type 2 diabetes mellitus,,"5 mg, 10 mg",Sodium-glucose co-transporter 2 (SGLT2) inhibitor,One tablet PO QAM,"UTI, genital mycotic infection, increased urination, dyslipidemia, discomfort with urination and constipation",
Azelastine Hydrochloride,Astelin® and Astepro®,Antiallergy Agent,Symptoms of nonallergic rhinitis,Symptoms of seasonal allergic rhinitis,0.1% and 0.15% nasal spray,Histamine H1-receptor antagonist that blocks histamine release in peripheral tissues,Two sprays per nostril BID,"Bitter taste in mouth, headache, drowsiness, nasal burning, pharyngitis, dry mouth, sneezing, nausea, rhinitis, fatigue, dizziness, nosebleed, and weight increase",
Sulfasalazine,Azulfidine®,GI - Anti-inflammatory,Mildly-moderately active ulcerative colitis,Rheumatoid arthritis,500 mg,"Unknown, may block cyclooxygenase and inhibit prostaglandin formation",2 g PO daily in at least three divided doses,"Anorexia, headache, nausea, vomiting, gastric pain, and reversible oligospermia",
Methocarbamol,Robaxin®,Muscle Relaxant,"Adjunct to rest and physical therapy for the relief of discomforts associated with acute, painful musculoskeletal conditions",Adjunct to conventional therapy in the treatment of tetanus,"500 mg, 750 mg tablet",It is thought to work at the level of the spinal cord by inhibiting the flexor and crossed extensor reflexes.,Maintenance dose: 750-1000 mg PO QID,"Dizziness, drowsiness, nausea, pruritus, rash, blurred vision, headache, and fever. *BEERS LIST",
Liraglutide (rDNA origin),"Victoza®, Saxenda®*",Antidiabetic,Type 2 diabetes mellitus,,Victoza®: 18 mg/3 mL pen,GLP-1 receptor agonist: Increases intracellular cAMP resulting in the release of insulin from the pancreatic beta cells.,"One dose administered SQ once daily. Starting dose is 0.6 mg daily, increase to 1.2 mg daily after one week, and may increase to 1.8 mg if 1.2 mg does not produce sufficient glycemic control.","Common: Nausea, diarrhea, vomiting and constipation. Rare but serious: medullary thyroid carcinoma, pancreatitis, and renal impairment",Contraindicated in patients with a personal or family history of medullary thyroid carcinoma; increases the risk of medullary thyroid carcinoma
Isosorbide Mononitrate,Imdur®,Antianginal,Prophylactic treatment of angina pectoris due to coronary artery disease,,"30 mg, 60 mg, 120 mg tablet",Reduces myocardial oxygen demand through the relaxation of vascular smooth muscle. Dilation of peripheral arteries and veins reduces left ventricular back pressure to promote more efficient blood flow to the myocardium.,30-120 mg PO once daily in the morning,Headache and dizziness,
Sacubitril and valsartan,Entresto®,Cardiovascular - Heart Failure,To reduce the risk of cardiovascular death and hospitalization for heart failure in adults with chronic heart failure,,"24/26 mg, 49/51 mg, 97/103 mg tablet",Angiotensin Receptor/Neprilysin Inhibitor (ARNI): Valsartan: Angiotensin Receptor Blocker (ARB); Sacubitril inhibits neprilysin to increase protective peptide levels in patients with heart failure,One tablet PO BID,"hypotension, hyperkalemia, cough, dizziness, renal failure, and angioedema",DO NOT USE DURING PREGNANCY.
Arformoterol,Brovana®,COPD Agent,Long-term maintenance treatment of bronchoconstriction in patients with COPD including chronic bronchitis and emphysema,,15 mcg/2 mL vial,Selective long-acting beta-2-adrenergic agonist,One vial (15 mcg) inhaled BID via nebulization,"Generalized pain, back pain, diarrhea, sinusitis, leg cramps, dyspnea, rash, and flu-like syndrome",
